SUBDIVISION,YEAR,VALUE
ANDAMAN & NICOBAR ISLANDS,1949,3489.6
ANDAMAN & NICOBAR ISLANDS,1950,2422.2
ANDAMAN & NICOBAR ISLANDS,1951,3275.1
ANDAMAN & NICOBAR ISLANDS,1952,3079.9
ANDAMAN & NICOBAR ISLANDS,1953,2721.9
ANDAMAN & NICOBAR ISLANDS,1954,3449
ANDAMAN & NICOBAR ISLANDS,1955,3349.6
ANDAMAN & NICOBAR ISLANDS,1956,3080
ANDAMAN & NICOBAR ISLANDS,1957,2507.2
ANDAMAN & NICOBAR ISLANDS,1958,2807.4
ANDAMAN & NICOBAR ISLANDS,1959,3343.3
ANDAMAN & NICOBAR ISLANDS,1960,3025
ANDAMAN & NICOBAR ISLANDS,1961,3938.2
ANDAMAN & NICOBAR ISLANDS,1962,2959.7
ANDAMAN & NICOBAR ISLANDS,1963,2981.7
ANDAMAN & NICOBAR ISLANDS,1964,3054.8
ANDAMAN & NICOBAR ISLANDS,1965,3163.8
ANDAMAN & NICOBAR ISLANDS,1966,2701.2
ANDAMAN & NICOBAR ISLANDS,1967,3216.4
ANDAMAN & NICOBAR ISLANDS,1968,2762.8
ANDAMAN & NICOBAR ISLANDS,1969,2619
ANDAMAN & NICOBAR ISLANDS,1970,3370.8
ANDAMAN & NICOBAR ISLANDS,1971,2998.6
ANDAMAN & NICOBAR ISLANDS,1972,3323
ANDAMAN & NICOBAR ISLANDS,1973,2991.1
ANDAMAN & NICOBAR ISLANDS,1974,2962
ANDAMAN & NICOBAR ISLANDS,1975,3085.7
ANDAMAN & NICOBAR ISLANDS,1976,3276
ANDAMAN & NICOBAR ISLANDS,1977,2388.2
ANDAMAN & NICOBAR ISLANDS,1978,2712.4
ANDAMAN & NICOBAR ISLANDS,1979,1849.4
ANDAMAN & NICOBAR ISLANDS,1980,3625.3
ANDAMAN & NICOBAR ISLANDS,1981,3074.8
ANDAMAN & NICOBAR ISLANDS,1982,2384.5
ANDAMAN & NICOBAR ISLANDS,1983,2792.4
ANDAMAN & NICOBAR ISLANDS,1984,2820.3
ANDAMAN & NICOBAR ISLANDS,1985,2630.8
ANDAMAN & NICOBAR ISLANDS,1986,2187.8
ANDAMAN & NICOBAR ISLANDS,1987,2764
ANDAMAN & NICOBAR ISLANDS,1988,3323
ANDAMAN & NICOBAR ISLANDS,1989,2533.6
ANDAMAN & NICOBAR ISLANDS,1990,2183.4
ANDAMAN & NICOBAR ISLANDS,1991,2535.8
ANDAMAN & NICOBAR ISLANDS,1992,2098.7
ANDAMAN & NICOBAR ISLANDS,1993,2237.4
ANDHRA PRADESH,1916,NA
ANDHRA PRADESH,1917,NA
ANDHRA PRADESH,1918,5486.3
ANDHRA PRADESH,1919,4693.9
ANDHRA PRADESH,1920,4106.7
ANDHRA PRADESH,1921,5691.4
ANDHRA PRADESH,1922,4187.2
ANDHRA PRADESH,1923,3507.5
ANDHRA PRADESH,1924,4450.5
ANDHRA PRADESH,1925,4439.8
ANDHRA PRADESH,1926,3521.6
ANDHRA PRADESH,1927,5253.2
ANDHRA PRADESH,1928,5272.7
ANDHRA PRADESH,1929,4320.2
ANDHRA PRADESH,1930,4334.1
ANDHRA PRADESH,1931,4872.1
ANDHRA PRADESH,1932,4850.9
ANDHRA PRADESH,1933,3773.3
ANDHRA PRADESH,1934,4575.7
ANDHRA PRADESH,1935,4173.7
ANDHRA PRADESH,1936,4788.9
ANDHRA PRADESH,1937,3375.1
ANDHRA PRADESH,1938,6129
ANDHRA PRADESH,1939,3898.7
ANDHRA PRADESH,1940,4099.3
ANDHRA PRADESH,1941,4220.2
ANDHRA PRADESH,1942,3828.2
ANDHRA PRADESH,1943,4326.7
ANDHRA PRADESH,1944,3904.3
ANDHRA PRADESH,1945,3649.3
ANDHRA PRADESH,1946,4011.2
ANDHRA PRADESH,1947,4369.1
ANDHRA PRADESH,1948,6331.1
ANDHRA PRADESH,1949,4874.7
ANDHRA PRADESH,1950,NA
ANDHRA PRADESH,1951,3354.2
ANDHRA PRADESH,1952,2396.1
ANDHRA PRADESH,1953,NA
ANDHRA PRADESH,1957,NA
ANDHRA PRADESH,1958,5063.5
ANDHRA PRADESH,1959,4195.5
ANDHRA PRADESH,1960,3709.4
ANDHRA PRADESH,1961,3676.5
ANDHRA PRADESH,1962,NA
ANDHRA PRADESH,1963,4138
ANDHRA PRADESH,1964,4959.3
ANDHRA PRADESH,1965,2196.8
ANDHRA PRADESH,1966,2209.6
ANDHRA PRADESH,1967,1668.5
ANDHRA PRADESH,1968,2139
ANDHRA PRADESH,1969,1877.7
ANDHRA PRADESH,1970,1973.4
ANDHRA PRADESH,1971,2184.5
ANDHRA PRADESH,1972,2281.3
ANDHRA PRADESH,1973,2457.5
ANDHRA PRADESH,1974,3063.9
ANDHRA PRADESH,1975,2213.3
ANDHRA PRADESH,1976,2419.5
ANDHRA PRADESH,1977,3774.3
ANDHRA PRADESH,1978,2531
ANDHRA PRADESH,1979,2773.6
ANDHRA PRADESH,1980,3215.3
ANDHRA PRADESH,1981,2790.9
ANDHRA PRADESH,1982,2779.5
ANDHRA PRADESH,1983,3335.3
ANDHRA PRADESH,1984,3278
ANDHRA PRADESH,1985,3266.2
ANDHRA PRADESH,1986,2495.6
ANDHRA PRADESH,1987,3433.2
ANDHRA PRADESH,1988,4155.3
ANDHRA PRADESH,1989,3281.6
ANDHRA PRADESH,1990,3604
ANDHRA PRADESH,1991,3434.4
ANDHRA PRADESH,1992,2707
ANDHRA PRADESH,1993,3348.9
ASSAM ,1901,2498.6
ASSAM ,1902,2952.1
ASSAM ,1903,2544.7
ASSAM ,1904,2664.1
ASSAM ,1905,2790.6
ASSAM ,1906,2663.4
ASSAM ,1907,2521.1
ASSAM ,1908,2277.8
ASSAM ,1909,2377
ASSAM ,1910,2887.3
ASSAM ,1911,3096.2
ASSAM ,1912,2743.5
ASSAM ,1913,2760.5
ASSAM ,1914,2343.8
ASSAM ,1915,3165.1
ASSAM ,1916,2601.1
ASSAM ,1917,2519.9
ASSAM ,1918,3106.8
ASSAM ,1919,2344.2
ASSAM ,1920,2623.6
ASSAM ,1921,2999.7
ASSAM ,1922,2261.9
ASSAM ,1923,2440.6
ASSAM ,1924,2691.4
ASSAM ,1925,2550.5
ASSAM ,1926,2511.7
ASSAM ,1927,2793.1
ASSAM ,1928,2634.3
ASSAM ,1929,2953.8
ASSAM ,1930,2550.7
ASSAM ,1931,2800.1
ASSAM ,1932,2888.7
ASSAM ,1933,2339.1
ASSAM ,1934,3074.9
ASSAM ,1935,2678.4
ASSAM ,1936,2671.3
ASSAM ,1937,2324.6
ASSAM ,1938,2786.5
ASSAM ,1939,2401.6
ASSAM ,1940,2451.6
ASSAM ,1941,2709.5
ASSAM ,1942,2677
ASSAM ,1943,2703.7
ASSAM ,1944,2524.3
ASSAM ,1945,2665.7
ASSAM ,1946,2679.5
ASSAM ,1947,2643.3
ASSAM ,1948,3185.4
ASSAM ,1949,2983.4
ASSAM ,1950,2392.4
ASSAM ,1951,2613.8
ASSAM ,1952,2851.3
ASSAM ,1953,2559.9
ASSAM ,1954,2859.1
ASSAM ,1955,2761.2
ASSAM ,1956,2802.9
ASSAM ,1957,2257.2
ASSAM ,1958,2626.4
ASSAM ,1959,2535.8
ASSAM ,1960,2342.2
ASSAM ,1961,2195.3
ASSAM ,1962,2295.9
ASSAM ,1963,2511.8
ASSAM ,1964,2729.6
ASSAM ,1965,2398.9
ASSAM ,1966,2789.3
ASSAM ,1967,2123.4
ASSAM ,1968,2530.8
ASSAM ,1969,2332.2
ASSAM ,1970,3048.4
ASSAM ,1971,2315.1
ASSAM ,1972,2379.1
ASSAM ,1973,2672.1
ASSAM ,1974,3403.5
ASSAM ,1975,2270.6
ASSAM ,1976,1956
ASSAM ,1977,2616.6
ASSAM ,1978,2011.9
ASSAM ,1979,2188.5
ASSAM ,1980,2289.2
ASSAM ,1981,2079.3
ASSAM ,1982,2382.2
ASSAM ,1983,2620
ASSAM ,1984,3157
ASSAM ,1985,2801.6
ASSAM ,1986,2592.8
ASSAM ,1987,2921.4
ASSAM ,1988,3261.7
ASSAM ,1989,2682.1
ASSAM ,1990,2771.2
ASSAM ,1991,2838
ASSAM ,1992,2259.8
ASSAM ,1993,2879.2
SIKKIM,1901,2113.2
SIKKIM,1902,3180.4
SIKKIM,1903,2404.5
SIKKIM,1904,2169.9
SIKKIM,1905,3005
SIKKIM,1906,2618
SIKKIM,1907,2530
SIKKIM,1908,1988.2
SIKKIM,1909,2670.1
SIKKIM,1910,3046.1
SIKKIM,1911,3194.2
SIKKIM,1912,2793.6
SIKKIM,1913,2935.1
SIKKIM,1914,2414.1
SIKKIM,1915,2504.9
SIKKIM,1916,3476.8
SIKKIM,1917,2841.6
SIKKIM,1918,2981.4
SIKKIM,1919,2544.5
SIKKIM,1920,2884.1
SIKKIM,1921,3513.4
SIKKIM,1922,3001.9
SIKKIM,1923,2489
SIKKIM,1924,2950.9
SIKKIM,1925,2886.6
SIKKIM,1926,2637.7
SIKKIM,1927,2732.2
SIKKIM,1928,2868.9
SIKKIM,1929,2931.3
SIKKIM,1930,2184.5
SIKKIM,1931,2876.5
SIKKIM,1932,2715.6
SIKKIM,1933,2514.2
SIKKIM,1934,2612.9
SIKKIM,1935,2785.1
SIKKIM,1936,2660.3
SIKKIM,1937,2568.4
SIKKIM,1938,3249.3
SIKKIM,1939,2591.1
SIKKIM,1940,2320.2
SIKKIM,1941,2718
SIKKIM,1942,2365.4
SIKKIM,1943,2917.6
SIKKIM,1944,2583.2
SIKKIM,1945,2755.4
SIKKIM,1946,2768.5
SIKKIM,1947,2534.1
SIKKIM,1948,2936.6
SIKKIM,1949,3287.7
SIKKIM,1950,2762.5
SIKKIM,1951,2683.1
SIKKIM,1952,3270.7
SIKKIM,1953,2594
SIKKIM,1954,3055.6
SIKKIM,1955,2992.9
SIKKIM,1956,2885.5
SIKKIM,1957,2225.5
SIKKIM,1958,2820.3
SIKKIM,1959,2580.1
SIKKIM,1960,2610.5
SIKKIM,1961,2304.2
SIKKIM,1962,2521.7
SIKKIM,1963,2604.7
SIKKIM,1964,2981.4
SIKKIM,1965,2762.7
SIKKIM,1966,2515.3
SIKKIM,1967,2860.5
SIKKIM,1968,3378.8
SIKKIM,1969,2424.9
SIKKIM,1970,2702.3
SIKKIM,1971,3226.8
SIKKIM,1972,2414.6
SIKKIM,1973,2804.6
SIKKIM,1974,3341.6
SIKKIM,1975,2663.6
SIKKIM,1976,2793.9
SIKKIM,1977,2906.5
SIKKIM,1978,2377.8
SIKKIM,1979,2511.7
SIKKIM,1980,3148.6
SIKKIM,1981,2969.3
SIKKIM,1982,2337.7
SIKKIM,1983,2838.8
SIKKIM,1984,2748.4
SIKKIM,1985,3037.9
SIKKIM,1986,2365.4
SIKKIM,1987,3185.5
SIKKIM,1988,3141.4
SIKKIM,1989,2854.6
SIKKIM,1990,3565.3
SIKKIM,1991,3072.4
SIKKIM,1992,2358.8
SIKKIM,1993,2895.9
WEST BENGAL,1901,1487.6
WEST BENGAL,1902,1347.7
WEST BENGAL,1903,1354.3
WEST BENGAL,1904,1383.1
WEST BENGAL,1905,1666.9
WEST BENGAL,1906,1395.6
WEST BENGAL,1907,1337
WEST BENGAL,1908,1400
WEST BENGAL,1909,1697.8
WEST BENGAL,1910,1385.9
WEST BENGAL,1911,1264.9
WEST BENGAL,1912,1347.4
WEST BENGAL,1913,1826.8
WEST BENGAL,1914,1383.9
WEST BENGAL,1915,1310.3
WEST BENGAL,1916,1600.5
WEST BENGAL,1917,1775.8
WEST BENGAL,1918,1395.4
WEST BENGAL,1919,1482.2
WEST BENGAL,1920,1363.6
WEST BENGAL,1921,1300.2
WEST BENGAL,1922,1655.6
WEST BENGAL,1923,1285.2
WEST BENGAL,1924,1266.5
WEST BENGAL,1925,1273.6
WEST BENGAL,1926,1705.4
WEST BENGAL,1927,1190.5
WEST BENGAL,1928,1625
WEST BENGAL,1929,1557.3
WEST BENGAL,1930,1380.8
WEST BENGAL,1931,1475.8
WEST BENGAL,1932,1306.9
WEST BENGAL,1933,1867.2
WEST BENGAL,1934,1117.4
WEST BENGAL,1935,1015.1
WEST BENGAL,1936,1505.6
WEST BENGAL,1937,1522.5
WEST BENGAL,1938,1337.8
WEST BENGAL,1939,1698.4
WEST BENGAL,1940,1358.5
WEST BENGAL,1941,1801.1
WEST BENGAL,1942,1615.6
WEST BENGAL,1943,1446.2
WEST BENGAL,1944,1406.4
WEST BENGAL,1945,1271.5
WEST BENGAL,1946,1714.2
WEST BENGAL,1947,1363
WEST BENGAL,1948,1532.1
WEST BENGAL,1949,1493.7
WEST BENGAL,1950,1615.6
WEST BENGAL,1951,1214
WEST BENGAL,1952,1395.7
WEST BENGAL,1953,1505.8
WEST BENGAL,1954,1080
WEST BENGAL,1955,1268.2
WEST BENGAL,1956,1714.2
WEST BENGAL,1957,1130.5
WEST BENGAL,1958,1151.1
WEST BENGAL,1959,1812.9
WEST BENGAL,1960,1245.5
WEST BENGAL,1961,1290.4
WEST BENGAL,1962,1173.6
WEST BENGAL,1963,1289.5
WEST BENGAL,1964,1278.5
WEST BENGAL,1965,1263.7
WEST BENGAL,1966,1118.7
WEST BENGAL,1967,1348.4
WEST BENGAL,1968,1597.7
WEST BENGAL,1969,1404
WEST BENGAL,1970,1648.5
WEST BENGAL,1971,2099.8
WEST BENGAL,1972,1333.2
WEST BENGAL,1973,1735.2
WEST BENGAL,1974,1470.7
WEST BENGAL,1975,1466.2
WEST BENGAL,1976,1240.6
WEST BENGAL,1977,1840.6
WEST BENGAL,1978,1872.5
WEST BENGAL,1979,1157.9
WEST BENGAL,1980,1521
WEST BENGAL,1981,1909
WEST BENGAL,1982,1111
WEST BENGAL,1983,1463.6
WEST BENGAL,1984,1831.7
WEST BENGAL,1985,1413.4
WEST BENGAL,1986,1791
WEST BENGAL,1987,1591.5
WEST BENGAL,1988,1681.5
WEST BENGAL,1989,1626.3
WEST BENGAL,1990,1961.3
WEST BENGAL,1991,1609.1
WEST BENGAL,1992,1414.6
WEST BENGAL,1993,1759.7
ORISSA,1901,1284.2
ORISSA,1902,1349
ORISSA,1903,1568.3
ORISSA,1904,1514.8
ORISSA,1905,1357.3
ORISSA,1906,1408.2
ORISSA,1907,1447.1
ORISSA,1908,1430.6
ORISSA,1909,1535.5
ORISSA,1910,1598.5
ORISSA,1911,1417.3
ORISSA,1912,1397.2
ORISSA,1913,1544.3
ORISSA,1914,1598.5
ORISSA,1915,1437.1
ORISSA,1916,1479.4
ORISSA,1917,1850.1
ORISSA,1918,1297.4
ORISSA,1919,1758.1
ORISSA,1920,1402.6
ORISSA,1921,1324
ORISSA,1922,1466.5
ORISSA,1923,1258.6
ORISSA,1924,1263.4
ORISSA,1925,1807.8
ORISSA,1926,1535.8
ORISSA,1927,1525.5
ORISSA,1928,1585.6
ORISSA,1929,1637.8
ORISSA,1930,1446.4
ORISSA,1931,1477.2
ORISSA,1932,1440.2
ORISSA,1933,1851
ORISSA,1934,1488.9
ORISSA,1935,1219.4
ORISSA,1936,1876
ORISSA,1937,1567.3
ORISSA,1938,1441.6
ORISSA,1939,1563.4
ORISSA,1940,1687.7
ORISSA,1941,1435.2
ORISSA,1942,1448.3
ORISSA,1943,1586.5
ORISSA,1944,1608.1
ORISSA,1945,1538.6
ORISSA,1946,1614.9
ORISSA,1947,1410.9
ORISSA,1948,1333.8
ORISSA,1949,1348.9
ORISSA,1950,1392.8
ORISSA,1951,1396.2
ORISSA,1952,1516.7
ORISSA,1953,1437.7
ORISSA,1954,1208
ORISSA,1955,1597
ORISSA,1956,1885.4
ORISSA,1957,1277.5
ORISSA,1958,1624
ORISSA,1959,1495.9
ORISSA,1960,1593
ORISSA,1961,1945.3
ORISSA,1962,1346.5
ORISSA,1963,1562
ORISSA,1964,1354.7
ORISSA,1965,1174.7
ORISSA,1966,1286.8
ORISSA,1967,1427.5
ORISSA,1968,1464.1
ORISSA,1969,1283.2
ORISSA,1970,1412.3
ORISSA,1971,1596.8
ORISSA,1972,1324.9
ORISSA,1973,1573.5
ORISSA,1974,987
ORISSA,1975,1392
ORISSA,1976,1178.8
ORISSA,1977,1477.9
ORISSA,1978,1439
ORISSA,1979,995.9
ORISSA,1980,1462.9
ORISSA,1981,1295.7
ORISSA,1982,1258.5
ORISSA,1983,1432
ORISSA,1984,1377.6
ORISSA,1985,1607.3
ORISSA,1986,1560
ORISSA,1987,1097.6
ORISSA,1988,1306.9
ORISSA,1989,1299.7
ORISSA,1990,1905
ORISSA,1991,1472.8
ORISSA,1992,1329.5
ORISSA,1993,1448
JHARKHAND,1901,1274.5
JHARKHAND,1902,1197.6
JHARKHAND,1903,1174.3
JHARKHAND,1904,1480.7
JHARKHAND,1905,1354.7
JHARKHAND,1906,1314.3
JHARKHAND,1907,1455.7
JHARKHAND,1908,1214.2
JHARKHAND,1909,1447.9
JHARKHAND,1910,1297.6
JHARKHAND,1911,1475.4
JHARKHAND,1912,1142.9
JHARKHAND,1913,1585.6
JHARKHAND,1914,1215.5
JHARKHAND,1915,1102.3
JHARKHAND,1916,1364.3
JHARKHAND,1917,1724.4
JHARKHAND,1918,1162.6
JHARKHAND,1919,1633.5
JHARKHAND,1920,1415
JHARKHAND,1921,1233.8
JHARKHAND,1922,1443.2
JHARKHAND,1923,1431.9
JHARKHAND,1924,1431.8
JHARKHAND,1925,1327.6
JHARKHAND,1926,1478.4
JHARKHAND,1927,1283.1
JHARKHAND,1928,1384
JHARKHAND,1929,1611.5
JHARKHAND,1930,1434
JHARKHAND,1931,1350.4
JHARKHAND,1932,1193.8
JHARKHAND,1933,1535.6
JHARKHAND,1934,1197.4
JHARKHAND,1935,1151.6
JHARKHAND,1936,1664.3
JHARKHAND,1937,1450.6
JHARKHAND,1938,1229.8
JHARKHAND,1939,1519.7
JHARKHAND,1940,1231.9
JHARKHAND,1941,1513.5
JHARKHAND,1942,1589
JHARKHAND,1943,1556.1
JHARKHAND,1944,1386.3
JHARKHAND,1945,1308.7
JHARKHAND,1946,1553.2
JHARKHAND,1947,1234.5
JHARKHAND,1948,1402.6
JHARKHAND,1949,1436.7
JHARKHAND,1950,1393
JHARKHAND,1951,1071.7
JHARKHAND,1952,1387.4
JHARKHAND,1953,1509.4
JHARKHAND,1954,1059.5
JHARKHAND,1955,1080.8
JHARKHAND,1956,1555.7
JHARKHAND,1957,1377.5
JHARKHAND,1958,1180.5
JHARKHAND,1959,1599.9
JHARKHAND,1960,1248.8
JHARKHAND,1961,1560.5
JHARKHAND,1962,1047.7
JHARKHAND,1963,1315
JHARKHAND,1964,1150.3
JHARKHAND,1965,1012.4
JHARKHAND,1966,879.8
JHARKHAND,1967,1225.3
JHARKHAND,1968,1293.4
JHARKHAND,1969,1158.1
JHARKHAND,1970,1291.5
JHARKHAND,1971,1898.6
JHARKHAND,1972,996.1
JHARKHAND,1973,1441
JHARKHAND,1974,1127
JHARKHAND,1975,1361.3
JHARKHAND,1976,1191.8
JHARKHAND,1977,1521.5
JHARKHAND,1978,1556.1
JHARKHAND,1979,882.8
JHARKHAND,1980,1340.6
JHARKHAND,1981,1167.2
JHARKHAND,1982,1085.3
JHARKHAND,1983,1261.7
JHARKHAND,1984,1529.9
JHARKHAND,1985,1240.3
JHARKHAND,1986,1335.6
JHARKHAND,1987,1332.7
JHARKHAND,1988,1153.7
JHARKHAND,1989,1149
JHARKHAND,1990,1404.2
JHARKHAND,1991,1250.9
JHARKHAND,1992,933
JHARKHAND,1993,1204
BIHAR,1901,952.3
BIHAR,1902,1206.2
BIHAR,1903,1016.3
BIHAR,1904,1269.5
BIHAR,1905,1498.5
BIHAR,1906,1265.1
BIHAR,1907,1126.4
BIHAR,1908,737.5
BIHAR,1909,1390.5
BIHAR,1910,1398.5
BIHAR,1911,1449.2
BIHAR,1912,1129.4
BIHAR,1913,1529.7
BIHAR,1914,1059.8
BIHAR,1915,1349.4
BIHAR,1916,1504.6
BIHAR,1917,1334.1
BIHAR,1918,1411.7
BIHAR,1919,1252.7
BIHAR,1920,1123.9
BIHAR,1921,1272.2
BIHAR,1922,1449.2
BIHAR,1923,982.8
BIHAR,1924,1456.3
BIHAR,1925,1191.5
BIHAR,1926,1121.8
BIHAR,1927,1100.2
BIHAR,1928,1249.8
BIHAR,1929,1359.2
BIHAR,1930,1114.3
BIHAR,1931,1146.3
BIHAR,1932,926.9
BIHAR,1933,1392.6
BIHAR,1934,1226.1
BIHAR,1935,1240.4
BIHAR,1936,1572.5
BIHAR,1937,1306.4
BIHAR,1938,1506.7
BIHAR,1939,1243.2
BIHAR,1940,1088.3
BIHAR,1941,1223.1
BIHAR,1942,1252.5
BIHAR,1943,1169.9
BIHAR,1944,1228.8
BIHAR,1945,1242.9
BIHAR,1946,1393.7
BIHAR,1947,1092.1
BIHAR,1948,1299.2
BIHAR,1949,1444.4
BIHAR,1950,1124.6
BIHAR,1951,850.2
BIHAR,1952,1206.8
BIHAR,1953,1378.7
BIHAR,1954,1050.5
BIHAR,1955,1244.2
BIHAR,1956,1493.4
BIHAR,1957,966.9
BIHAR,1958,1167.4
BIHAR,1959,1179.6
BIHAR,1960,1247.9
BIHAR,1961,1258.1
BIHAR,1962,1178.1
BIHAR,1963,1326.1
BIHAR,1964,1122.5
BIHAR,1965,1002.7
BIHAR,1966,767
BIHAR,1967,999.9
BIHAR,1968,1140.1
BIHAR,1969,1288.6
BIHAR,1970,1074.7
BIHAR,1971,1432.6
BIHAR,1972,717.9
BIHAR,1973,1189
BIHAR,1974,1235.2
BIHAR,1975,1069.1
BIHAR,1976,1161.7
BIHAR,1977,1147.5
BIHAR,1978,1290.8
BIHAR,1979,1001.9
BIHAR,1980,1252.2
BIHAR,1981,1364.7
BIHAR,1982,933.5
BIHAR,1983,1104.2
BIHAR,1984,1426.2
BIHAR,1985,1455
BIHAR,1986,1322.1
BIHAR,1987,1660.4
BIHAR,1988,1337.4
BIHAR,1989,1269.9
BIHAR,1990,1239.4
BIHAR,1991,1045.7
BIHAR,1992,797.6
BIHAR,1993,1208.3
UTTAR PRADESH,1901,873.2
UTTAR PRADESH,1902,905.2
UTTAR PRADESH,1903,1216.4
UTTAR PRADESH,1904,1071.2
UTTAR PRADESH,1905,891.6
UTTAR PRADESH,1906,997.7
UTTAR PRADESH,1907,666.3
UTTAR PRADESH,1908,744.7
UTTAR PRADESH,1909,1106.9
UTTAR PRADESH,1910,1116.4
UTTAR PRADESH,1911,1113.9
UTTAR PRADESH,1912,879.6
UTTAR PRADESH,1913,861.4
UTTAR PRADESH,1914,988.8
UTTAR PRADESH,1915,1409.8
UTTAR PRADESH,1916,1201.9
UTTAR PRADESH,1917,1216.5
UTTAR PRADESH,1918,650.7
UTTAR PRADESH,1919,1023.4
UTTAR PRADESH,1920,860.2
UTTAR PRADESH,1921,1114.7
UTTAR PRADESH,1922,1364
UTTAR PRADESH,1923,1076.2
UTTAR PRADESH,1924,1119.9
UTTAR PRADESH,1925,1114.1
UTTAR PRADESH,1926,989.5
UTTAR PRADESH,1927,1031.2
UTTAR PRADESH,1928,804.8
UTTAR PRADESH,1929,1014.8
UTTAR PRADESH,1930,1069.5
UTTAR PRADESH,1931,1047.1
UTTAR PRADESH,1932,738.5
UTTAR PRADESH,1933,977.5
UTTAR PRADESH,1934,1068.4
UTTAR PRADESH,1935,919.8
UTTAR PRADESH,1936,1545.5
UTTAR PRADESH,1937,1035.3
UTTAR PRADESH,1938,1374.2
UTTAR PRADESH,1939,945
UTTAR PRADESH,1940,866.8
UTTAR PRADESH,1941,798.2
UTTAR PRADESH,1942,1028.6
UTTAR PRADESH,1943,1101.1
UTTAR PRADESH,1944,1061.5
UTTAR PRADESH,1945,980.4
UTTAR PRADESH,1946,1038.9
UTTAR PRADESH,1947,1006.3
UTTAR PRADESH,1948,1323.1
UTTAR PRADESH,1949,1131
UTTAR PRADESH,1950,951.4
UTTAR PRADESH,1951,752.5
UTTAR PRADESH,1952,935.9
UTTAR PRADESH,1953,1266.9
UTTAR PRADESH,1954,969.7
UTTAR PRADESH,1955,1424.3
UTTAR PRADESH,1956,1254.1
UTTAR PRADESH,1957,955.7
UTTAR PRADESH,1958,1016.9
UTTAR PRADESH,1959,869.2
UTTAR PRADESH,1960,1170
UTTAR PRADESH,1961,1214.3
UTTAR PRADESH,1962,1072
UTTAR PRADESH,1963,996.3
UTTAR PRADESH,1964,1036.6
UTTAR PRADESH,1965,685.5
UTTAR PRADESH,1966,707.8
UTTAR PRADESH,1967,1029.4
UTTAR PRADESH,1968,840
UTTAR PRADESH,1969,1024.6
UTTAR PRADESH,1970,1132.3
UTTAR PRADESH,1971,1311.1
UTTAR PRADESH,1972,666.9
UTTAR PRADESH,1973,955.7
UTTAR PRADESH,1974,882.2
UTTAR PRADESH,1975,1225.5
UTTAR PRADESH,1976,923.5
UTTAR PRADESH,1977,914.1
UTTAR PRADESH,1978,1116.3
UTTAR PRADESH,1979,696.5
UTTAR PRADESH,1980,1488.5
UTTAR PRADESH,1981,1110.1
UTTAR PRADESH,1982,1110.6
UTTAR PRADESH,1983,1204.8
UTTAR PRADESH,1984,1076.7
UTTAR PRADESH,1985,1175.9
UTTAR PRADESH,1986,935.3
UTTAR PRADESH,1987,824.7
UTTAR PRADESH,1988,1085.1
